Date,Year,Event,Event description,Period_ID,SongID,EventID
1964-09-02 00:00:00.000,"- 1964","Alvin York dies","Alvin York led the 82nd Infantry Division against the German defensive machine gun nests on Hill 223 in 1918 and captured a large group of German Soldiers. York became one of the biggest American heroes. He scooped countless medals, including the Congressional Medal of Honor. He died on September 2, 1964, of a cerebral haemorrhage at the age of 76.",5,25,57
1648-07-25 00:00:00.000,"- 1648","The Battle of Prague starts","The last major clash of the Thirty Years’ War happened in the same place as the first: Prague. With final peace negotiations underway, Sweden took the opportunity for a last assault on Bohemia to loot Prague Castle and seize its prized art collection.",3,77,26
1648-07-25 00:00:00.000,"- 1648","The Battle of Prague starts","The last major clash of the Thirty Years’ War happened in the same place as the first: Prague. With final peace negotiations underway, Sweden took the opportunity for a last assault on Bohemia to loot Prague Castle and seize its prized art collection.",3,90,26
1868-12-09 00:00:00.000,"- 1868","Fritz Haber was born","Fritz Haber’s inventions truly benefited the world. He helped billions of people, yet his inventions also caused terrible, agonising deaths and lifelong suffering for hundreds of thousands during World War I. He is responsible for the advent of chemical warfare.",5,26,79
1918-04-21 00:00:00.000,"- 1918","‘The Red Baron’ Manfred von Richthofen dies","A great symbol of World War I, Manfred Albrecht Freiherr von Richthofen, known as The Red Baron, was a killer in the skies. On April 21, 1918, his red triplane came to a stop and he was killed by a single bullet through the heart.",5,27,40
1933-03-10 00:00:00.000,"- 1933","Formation of the Chasseurs Ardennais","The Belgian Armed Forces unit, whose motto is “Resist and Bite”, is known for its fierce resistance against Germany’s invasion of Belgium in WWII. Panzer division commander Erwin Rommel said of their bravery: “They are not men; they are green wolves”.",7,66,28
1697-12-14 00:00:00.000,"- 1697","Charles XII of Sweden is crowned","Charles XII of Sweden, or Carolus Rex, ascended to the throne at age 15. He was a strong believer in the divine right of kings and spent his whole life at war to expand or protect the Swedish Empire.",3,79,29
1697-12-14 00:00:00.000,"- 1697","Charles XII of Sweden is crowned","Charles XII of Sweden, or Carolus Rex, ascended to the throne at age 15. He was a strong believer in the divine right of kings and spent his whole life at war to expand or protect the Swedish Empire.",3,92,29
1915-08-06 00:00:00.000,"- 1915","Attack of the Dead Men","In the early morning of August 6, the German gas batteries opened up and a dark green smog crept over the Russian lines at Osowiec Fortress. Despite the deadly effects of the poison gas, the Russians, like dead men returning to life, counterattacked the German infantry.",5,29,59
1915-08-06 00:00:00.000,"- 1915","Attack of the Dead Men","In the early morning of August 6, the German gas batteries opened up and a dark green smog crept over the Russian lines at Osowiec Fortress. Despite the deadly effects of the poison gas, the Russians, like dead men returning to life, counterattacked the German infantry.",5,43,59
1935-03-16 00:00:00.000,"- 1935","Formation of the Wehrmacht","The Wehrmacht was the united armed force of Germany, comprising the Heer (army), Kriegsmarine (navy) and Luftwaffe (air force). It was established by Hitler in direct disregard of the restrictions on German rearmament that were imposed after WWI.",7,104,30
1916-09-15 00:00:00.000,"- 1916","The Battle of Flers-Courcelette begins","The Battle of Flers-Courcelette on September 15, 1916, saw the very first tank take on the battlefield. The first tank on tank battle took place on April 24, 1918, during The Second Battle of Villers-Bretonneux. This deadly vehicle was the future of mechanised warfare.",5,30,54
1709-07-08 00:00:00.000,"- 1709","Swedish Army defeated at Poltava","This battle is widely thought to have begun the downfall of the Swedish Empire, when Peter the Great and his Russian army routed the Caroleans on a battlefield in modern day Ukraine. Carolus Rex, wounded, spent five years in exile after the defeat.",3,81,32
1709-07-08 00:00:00.000,"- 1709","Swedish Army defeated at Poltava","This battle is widely thought to have begun the downfall of the Swedish Empire, when Peter the Great and his Russian army routed the Caroleans on a battlefield in modern day Ukraine. Carolus Rex, wounded, spent five years in exile after the defeat.",3,94,32
1914-06-28 00:00:00.000,"- 1914","Archduke Franz Ferdinand was assassinated","In the summer of 1914, Archduke Franz Ferdinand planned a visit to Sarajevo to present himself to the Bosnian people. On June 28, 1914, he and his wife, Sophie Chotek von Chotkowa, were assassinated. It was an event that would change the world forever, leading to the downfall of four mighty empires.",5,32,69
1916-04-17 00:00:00.000,"- 1916","Col di Lana summit taken by the Italians","At 23:30 on April 17, 1916, the Italians, who were up against the Austro-Hungarian Empire, detonated 5,000kg of Nitro-Gelatine. Around 200 Austrian soldiers were killed in the explosion and the following assault, and the Italians secured the Col di Lana summit.",5,33,39
1917-04-22 00:00:00.000,"- 1917","The second Battle of Doiran begins","During the Battles of Doiran (in 1916, 1917 and 1918), the Bulgarians tenaciously defended their well prepared positions against British troops. Three times the attackers went up against the lines and three times they were beaten back.",5,34,42
1527-05-06 00:00:00.000,"- 1527","The Sack of Rome","The Sack of Rome occurred when disaffected Holy Roman Empire troops attacked the city in search of spoils. The outnumbered Swiss Guard, protectors of the Vatican, stood against the invading horde, giving their lives so the Pope could make his escape.",3,53,35
1914-12-24 00:00:00.000,"- 1914","Christmas Truce was enforced","An act of trust during World War I, on December 24, 1914, an unofficial Christmas Truce was enforced on the Western Front. British and German soldiers united, mingled and even played games together - a rare but magical moment of peace.",5,35,77
1945-04-14 00:00:00.000,"- 1945","The Drei Brasilianischen Helden incident","Three Brazilian soldiers were attacked by German troops while on patrol in Montese, Italy. Refusing to surrender, they fought until their ammunition ran out. The Germans, impressed by the heroes (Helden), buried the men with a cross by their graves.",7,62,36
1919-06-28 00:00:00.000,"- 1919","Treaty of Versailles signed","The Treaty of Versailles was one of five treaties signed by the Central Powers that ended the First World War. It was considered the most important and was formalised on June 28, 1919, in the Palace of Versailles. The Treaty comprised the 'War Guilt clause', which required Germany to cede territory, pay reparations and disarm.",5,36,70
1683-09-12 00:00:00.000,"- 1683","The Battle of Vienna","Vienna was a key goal for the Ottoman Empire, which was at war with Europe for centuries. After besieging the city for two months, the Ottomans were driven away when a relief force, including the famed Winged Hussars of Poland, arrived to save Vienna.",3,56,37
1918-08-08 00:00:00.000,"- 1918","The Black day of the German Army","Known as “the black day of the German army”, 530 British tanks broke into the German lines in Amiens, France, achieving major breakthroughs for the first time in years, heralding the beginning of the end of World War I.",5,37,80
1982-06-07 00:00:00.000,"- 1982","Manowar releases first album, ‘Battle Hymns’","Manowar's first album, 'Battle Hymns', was released in 1982. The band took the world by storm and for over 40 years they have celebrated the essence of True Heavy Metal. Manowar still holds the record for being the loudest band in history.",,38,104
1941-10-02 00:00:00.000,"- 1941","The Battle of Moscow begins","Operation Typhoon kicks off on October 2, 1941. Despite the brutal weather conditions, the German offensive continues its ruthless advance on Moscow. Half a million Muscovites are forced to prepare for battle to defend their city against the enemy.",,40,107
1847-12-21 00:00:00.000,"- 1847","Birth of Colonel John Chard","For two days, 150 British and colonial soldiers defended Rorke’s Drift mission station in South Africa from up to 4,000 Zulu warriors. Leader John Chard and 10 of his men were awarded the Victoria Cross medal – the most ever given for a single action by one regiment.",4,52,41
1945-05-02 00:00:00.000,"- 1945","Battle of Berlin ends","German general of the 12th Army, Walther Wenck, realised the end of the war was approaching. Instead of attempting to defeat the invading Soviet forces during the Battle of Berlin, which he was ordered to do, he used his army to create an escape corridor out of Berlin. He was responsible for up to 250,000 people escaping to safety.",7,69,44
1914-09-15 00:00:00.000,"- 1914","First trenches dug on the Western Front","The First World War kicked off on July 28, 1914, and ended on November 11, 1918. This war marked the start of trench warfare. Due to the heavy artillery and machine guns used on the Western Front, armies were forced to dig trenches to protect themselves.",5,44,45
1918-11-11 00:00:00.000,"- 1918","World War I ends","The First World War ended on November 11, 1918. It is estimated that 9,722,000 soldiers had been killed, while 21 million others had survived the war but were left scarred or maimed for life. It is also estimated that 6-13 million civilians perished in the conflict.",5,45,67
