Concert,Date,Venue,Location,Index
"Download Festival 2017",2017-06-11 00:00:00.000,"Donington Park","Castle Donington, England, United Kingdom",1389
"Download Festival 2017",2017-06-09 00:00:00.000,"Donington Park","Castle Donington, England, United Kingdom",1389
"Download 2017 Day 1",2017-06-09 00:00:00.000,"Donington Park","Leicester, England, United Kingdom",1388
"Download Festival (UK)",2017-06-09 00:00:00.000,"Donington Park","Castle Donington, England, United Kingdom",1387
"Nova Rock Festival 2017",2017-06-17 00:00:00.000,"Pannonia Fields","Nickelsdorf, Burgenland, Austria",1386
"Nova Rock Festival 2017",2017-06-14 00:00:00.000,"Pannonia Fields","Nickelsdorf, Burgenland, Austria",1386
"Nova Rock Festival 2017",2017-06-17 00:00:00.000,"Pannonia Fields","Nickelsdorf, Burgenland, Austria",1385
"Nova Rock Festival 2017",2017-06-14 00:00:00.000,"Pannonia Fields","Nickelsdorf, Burgenland, Austria",1385
"Sabaton / Accept / Twilight Force",2017-03-22 00:00:00.000,"Sparbanken Skåne Arena","Lund, Skåne, Sweden",1380
"Sabaton / Twilight Force / Accept",2017-03-24 00:00:00.000,"Hovet","Stockholm, Stockholm, Sweden",1379
"Twilight Force / Sabaton / Accept",2017-03-25 00:00:00.000,"Frolundaborg","Gothenburg, Västra Götaland, Sweden",1377
"Sabaton / Accept / Twilight Force",2017-03-26 00:00:00.000,"Sentrum Scene","Oslo, Oslo, Norway",1376
"Twilight Force / Sabaton / Accept",2017-03-27 00:00:00.000,"ByScenen","Haugesund, Norway",1375
"Twilight Force / Sabaton / Accept",2017-03-29 00:00:00.000,"Samfundet Storsalen","Trondheim, Trøndelag, Norway",1373
"Twilight Force / Sabaton / Accept",2017-04-01 00:00:00.000,"Coop Norrbotten Arena","Luleå, Sweden",1371
"Sabaton / Leaves’ Eyes / Battle Beast",2017-04-21 00:00:00.000,"Palladium Times Square","New York, New York, United States",1369
"New England Metal and Hardcore Festival XIX",2017-04-22 00:00:00.000,"The Worcester Palladium","Worcester, Massachusetts, United States",1368
"New England Metal / Sabaton / Katatonia / Hammerfall / Amorphis / Caspian / Delain / Swallow the Sun / Battle Beast / Twilight Force / Circuit of Suns / Leaves' Eyes / Angel Vivaldi / pathogenic / Begat the Nephilim / Within The Abyss / Affiance /...",2017-04-22 00:00:00.000,"New England Metal & Hardcore Festival","Worcester, Massachusetts, United States",1367
"Sabaton / Battle Beast / Leaves' Eyes",2017-04-25 00:00:00.000,"Club Soda","Montreal, Quebec, Canada",1365
"Sabaton / Leaves' Eyes / Battle Beast",2017-04-26 00:00:00.000,"Imperial De Quebec","Québec, Quebec, Canada",1364
"Sabaton / Hammerfall",2017-04-27 00:00:00.000,"The Opera House","Toronto, Ontario, Canada",1363
"Sabaton / Battlebeast / Leaves' Eyes",2017-04-28 00:00:00.000,"The Agora","Cleveland, Ohio, United States",1362
"Sabaton / Leaves' Eyes / Battle Beast",2017-04-30 00:00:00.000,"Diamond Pub Concert Hall","Louisville, Kentucky, United States",1361
"Sabaton / Accept / Twilight Force",2017-02-05 00:00:00.000,"Zenith, MOTORWORLD München","Munich, Bavaria, Germany",1358
"Twilight Force / Sabaton / Accept",2017-02-24 00:00:00.000,"Helsinki Ice Hall / Helsingin Jäähalli","Helsinki, Uusimaa, Finland",1356
"Sabaton / Accept / Twilight Force",2017-02-25 00:00:00.000,"Kultuurikatel","Tallinn, Estonia",1355
"Twilight Force / Sabaton / Accept",2017-02-27 00:00:00.000,"Ergo Arena","Gdańsk, Pomerania, Poland",1354
"Sabaton / Accept",2017-02-28 00:00:00.000,"Hala Stulecia","Wroclaw, Lower Silesia, Poland",1353
"Twilight Force / Sabaton / Accept",2017-02-28 00:00:00.000,"Hala Stulecia","Wroclaw, Lower Silesia, Poland",1352
"Twilight Force / Sabaton / Accept",2017-03-01 00:00:00.000,"Central Sports Centre Torwar","Warsaw, Mazovia, Poland",1351
"Sabaton / Accept",2017-03-03 00:00:00.000,"Hala Wisla","Kraków, Lesser Poland, Poland",1350
"Sabaton / Accept / Twilight Force",2017-03-05 00:00:00.000,"Hungexpo","Budapest, Budapest, Hungary",1348
"Twilight Force / Sabaton / Accept",2017-03-06 00:00:00.000,"Belexpocentar Beograd","Belgrade, Central Serbia, Serbia",1346
"Twilight Force / Sabaton / Accept",2017-03-08 00:00:00.000,"Peiraios Academy","Athens, Attica, Greece",1344
"Sabaton / Accept / Twilight Force",2017-03-09 00:00:00.000,"Fix Factory Of Sound","Thessaloníki, Greece",1342
"Twilight Force / Sabaton / Accept",2017-03-10 00:00:00.000,"Universiada Hall","Sofia, Sofia-Capital, Bulgaria",1341
"Twilight Force / Sabaton / Accept",2017-03-11 00:00:00.000,"Arenele Romane","Bucharest, Bucureşti, Romania",1340
"Twilight Force / Sabaton / Accept",2017-03-13 00:00:00.000,"Dom Športova","Zagreb, City of Zagreb, Croatia",1338
"Sabaton / Accept / Twilight Force",2017-03-14 00:00:00.000,"AEGON aréna NTC","Bratislava, Bratislava, Slovak Republic",1336
"Sabaton / Accept / Twilight Force",2017-03-15 00:00:00.000,"UFO im Velodrom","Berlin, Berlin, Germany",1335
"Sabaton / Accept",2017-01-07 00:00:00.000,"Rudolf Weber-Arena","Oberhausen, North Rhine-Westphalia, Germany",1333
"Sabaton / Accept",2017-01-08 00:00:00.000,"Lotto Arena","Antwerp, Flanders, Belgium",1332
"Sabaton / Accept / Twilight Force",2017-01-10 00:00:00.000,"Vicar Street","Dublin, Leinster, Ireland",1331
"Sabaton / Accept / Twilight Force",2017-01-11 00:00:00.000,"O2 Academy Glasgow","Glasgow, Scotland, United Kingdom",1330
"Sabaton / Accept / Twilight Force",2017-01-13 00:00:00.000,"O2 Apollo Manchester","Manchester, England, United Kingdom",1329
"Sabaton / Accept / Twilight Force",2017-01-14 00:00:00.000,"O2 Academy Brixton","London, England, United Kingdom",1328
"Sabaton / Accept / Twilight Force",2017-01-15 00:00:00.000,"L'Aéronef","Lille, Hauts-de-France, France",1327
"Sabaton / Accept",2017-01-16 00:00:00.000,"L'Olympia","Paris, Île-de-France, France",1326
"Sabaton / Accept / Twilight Force",2017-01-18 00:00:00.000,"Le Bikini","Ramonville-Saint-Agne, Occitanie, France",1325
"Sabaton / Accept / Twiligh Force",2017-01-20 00:00:00.000,"Coliseu do Porto","Porto, Porto, Portugal",1323
"Sabaton / Accept",2017-01-21 00:00:00.000,"WiZink Center","Madrid, Madrid, Spain",1322
"Accept / Sabaton",2017-01-24 00:00:00.000,"Transbordeur","Villeurbanne, Auvergne-Rhône-Alpes, France",1320
"Sabaton / Accept",2017-01-24 00:00:00.000,"Transbordeur","Lyon, Auvergne-Rhône-Alpes, France",1319
"Twilight Force / Sabaton / Accept",2017-01-25 00:00:00.000,"Live Club","Milan, Lombardy, Italy",1318
"Sabaton / Accept",2017-01-27 00:00:00.000,"Gasometer Halle","Vienna, Vienna, Austria",1317
"Twilight Force / Accept / Sabaton",2017-01-29 00:00:00.000,"AFAS Live","Amsterdam, North Holland, Netherlands",1315
"Sabaton / Accept",2017-01-31 00:00:00.000,"myticket Jahrhunderthalle","Frankfurt am Main, Hesse, Germany",1313
"Sabaton / Ni Voz Ni Voto / Mauser / Nova Genesis",2016-11-09 00:00:00.000,"Discoteca Mango's","Lima, Lima, Peru",1309
"Northside rock park meeting fest 2016",2016-11-12 00:00:00.000,"Parque Fundidora","Monterrey, Nuevo León, Mexico",1307
"Northside rock park meeting fest 2016",2016-11-12 00:00:00.000,"Parque Fundidora","Monterrey, Nuevo León, Mexico",1306
"P.O.D. / Sabaton / Sepultura",2016-11-13 00:00:00.000,"Concha Acustica Parque Agua Azul","Guadalajara, Jalisco, Mexico",1305
"""Sabaton Cruise"" / Sabaton",2016-12-12 00:00:00.000,"Silja Cruise Lines - Galaxy","Stockholm, Stockholm, Sweden",1296
"""Sabaton Cruise"" / Sabaton",2016-12-13 00:00:00.000,"Silja Cruise Lines - Galaxy","Stockholm, Stockholm, Sweden",1295
"""Sabaton Cruise"" / Sabaton",2016-12-14 00:00:00.000,"Silja Cruise Lines - Galaxy","Stockholm, Stockholm, Sweden",1294
"Sabaton / Accept / Twilight Force",2017-01-06 00:00:00.000,"Sporthalle Hamburg","Hamburg, Hamburg, Germany",1291
"Sabaton / Accept / Twilight Force",2017-01-06 00:00:00.000,"Alsterdorfer Sporthalle","Hamburg, Hamburg, Germany",1290
"Trivium / Sabaton",2016-10-06 00:00:00.000,"Gas Monkey Live","Dallas, Texas, United States",1289
"Trivium / Sabaton",2016-10-06 00:00:00.000,"Gas Monkey Bar N Grill","Dallas, Texas, United States",1288
"Trivium / Sabaton / Huntress",2016-10-06 00:00:00.000,"Gas Monkey Bar N' Grill","Dallas, Texas, United States",1287
"Trivium / Sabaton / Huntress",2016-10-07 00:00:00.000,"Scout Bar","Houston, Texas, United States",1286
"Trivium / Sabaton / Huntress",2016-10-08 00:00:00.000,"Cain's Ballroom","Tulsa, Oklahoma, United States",1285
"Trivium / Sabaton",2016-10-10 00:00:00.000,"Stage AE","Pittsburgh, Pennsylvania, United States",1284
"Trivium / Sabaton / Huntress",2016-10-11 00:00:00.000,"Irving Plaza","New York, New York, United States",1283
"Trivium / Sabaton / Huntress",2016-10-11 00:00:00.000,"Irving Plaza","",1282
"Trivium / Sabaton / Huntress",2016-10-13 00:00:00.000,"The Chance Entertainment Complex","Poughkeepsie, New York, United States",1281
"Trivium / Sabaton / Dope / Huntress / My Enemies & I / Flaw",2016-10-16 00:00:00.000,"The Worcester Palladium","Worcester, Massachusetts, United States",1280
"Trivium / Sabaton / Dope / Huntress / My Enemies & I / Flaw",2016-10-14 00:00:00.000,"The Worcester Palladium","Worcester, Massachusetts, United States",1280
"Rock&Shock",2016-10-14 00:00:00.000,"The Worcester Palladium","Worcester, Massachusetts, United States",1279
"Rock / Trivium / Carach Angren / Twiztid / Dope / Malevolent Creation / Kataklysm / Demolition Hammer / Sworn In / My Enemies & I / Flaw / Black Trip / Sabaton",2016-10-14 00:00:00.000,"The Worcester Palladium","Worcester, Massachusetts, United States",1278
"Trivium / Sabaton / Huntress",2016-10-15 00:00:00.000,"Magic City Music Hall","Binghamton, New York, United States",1277
"Trivium / Sabaton / Huntress",2016-10-17 00:00:00.000,"Music Farm","Charleston, South Carolina, United States",1276
"Trivium / Sabaton / Huntress",2016-10-18 00:00:00.000,"The Floridian Social Club","St. Petersburg, Florida, United States",1275
"Trivium / Sabaton / Huntress",2016-10-19 00:00:00.000,"Revolution Live","Fort Lauderdale, Florida, United States",1274
"Trivium / Sabaton / Huntress",2016-10-21 00:00:00.000,"House of Blues Orlando","Orlando, Florida, United States",1273
"Trivium / Sabaton / Huntress",2016-10-22 00:00:00.000,"House of Blues Orlando","Orlando, Florida, United States",1272
"""Czad Festiwal"" / Che Sudaka / Alborosie / Sabaton / Royal Republic / Illusion",2016-08-28 00:00:00.000,"Arena Park","Straszecin, Poland",1264
"Trivium / Sabaton",2016-09-15 00:00:00.000,"Newport Music Hall","Columbus, Ohio, United States",1260
"Trivium / Sabaton / Huntress",2016-09-16 00:00:00.000,"Baltimore Soundstage","Baltimore, Maryland, United States",1259
"Devin Townsend Project / Between The Buried And Me / Sabaton / Fallujah",2016-09-17 00:00:00.000,"The Worcester Palladium","Worcester, Massachusetts, United States",1258
"Trivium / Sabaton / Huntress",2016-09-19 00:00:00.000,"Heaven, The Masquerade","Atlanta, Georgia, United States",1257
"Trivium / Sabaton / Huntress",2016-09-20 00:00:00.000,"Metroplex Live","Little Rock, Arkansas, United States",1256
"Devin Townsend Project / Between The Buried And Me / Sabaton / Fallujah",2016-09-21 00:00:00.000,"The Worcester Palladium","Worcester, Massachusetts, United States",1255
"Trivium / Sabaton / Huntress",2016-09-22 00:00:00.000,"Summit","Denver, Colorado, United States",1254
"Trivium / Sabaton / Huntress",2016-09-23 00:00:00.000,"Sunshine Theater","Albuquerque, New Mexico, United States",1253
"Ozzfest Meets Knotfest 2016",2016-09-25 00:00:00.000,"Glen Helen Amphitheater","San Bernardino, California, United States",1252
"Ozzfest Meets Knotfest 2016",2016-09-24 00:00:00.000,"Glen Helen Amphitheater","San Bernardino, California, United States",1252
"Ozzfest meets Knotfest",2016-09-25 00:00:00.000,"San Manuel Amphitheater","San Bernardino, California, United States",1251
"Ozzfest meets Knotfest",2016-09-24 00:00:00.000,"San Manuel Amphitheater","San Bernardino, California, United States",1251
"Sabaton / Soundmankillz / Trivium",2016-09-24 00:00:00.000,"Marquee Theatre","Tempe, Arizona, United States",1250
"Slipknot / Slayer / Megadeth / Amon Amarth / Anthrax / Sabaton",2016-09-25 00:00:00.000,"Glen Helen Amphitheater","San Bernardino, California, United States",1249
"Knotfest 2016",2016-09-25 00:00:00.000,"Glen Helen Amphitheater","San Bernardino, California, United States",1248
"Knotfest",2016-09-25 00:00:00.000,"Glen Helen Amphitheater","San Bernardino, California, United States",1247
"Trivium / Sabaton / Huntress",2016-09-27 00:00:00.000,"The Complex (The Grand)","Salt Lake City, Utah, United States",1246
"Trivium / Sabaton / Huntress",2016-09-29 00:00:00.000,"Sokol Auditorium","Omaha, Nebraska, United States",1245
"Trivium / Sabaton / Huntress",2016-09-30 00:00:00.000,"Mill City Nights","Minneapolis, Minnesota, United States",1244
"Louder Than Life",2016-10-02 00:00:00.000,"Champions Park","Louisville, Kentucky, United States",1243
"Louder Than Life",2016-10-01 00:00:00.000,"Champions Park","Louisville, Kentucky, United States",1243
"Louder Than Life 2016",2016-10-02 00:00:00.000,"Champions Park","Louisville, Kentucky, United States",1242
"Louder Than Life 2016",2016-10-01 00:00:00.000,"Champions Park","Louisville, Kentucky, United States",1242
"Louder than Life 2016 Day 2",2016-10-02 00:00:00.000,"Champions Park","Louisville, Kentucky, United States",1241
"Trivium / Sabaton / Huntress",2016-10-04 00:00:00.000,"Monarch Music Hall","Peoria, Illinois, United States",1240
"Sweden Rock Festival",2016-06-08 00:00:00.000,"Norje Festival Grounds","Norje, Blekinge, Sweden",1239
"Sweden Rock Festival",2016-06-11 00:00:00.000,"Norje Festival Grounds","Norje, Blekinge, Sweden",1239
"Sweden Rock Festival 2016",2016-06-11 00:00:00.000,"Sweden Rock Festival Grounds","Sölvesborg, Blekinge, Sweden",1238
"Sweden Rock Festival 2016",2016-06-08 00:00:00.000,"Sweden Rock Festival Grounds","Sölvesborg, Blekinge, Sweden",1238
"Sweden Rock Festival 2016",2016-06-11 00:00:00.000,"Sweden Rock Festival Grounds","Norje, Blekinge, Sweden",1237
"Sweden Rock Festival 2016",2016-06-08 00:00:00.000,"Sweden Rock Festival Grounds","Norje, Blekinge, Sweden",1237
"Sweden Rock",2016-06-11 00:00:00.000,"Norje Havsbad","Norje, Blekinge, Sweden",1236
"Sweden Rock",2016-06-08 00:00:00.000,"Norje Havsbad","Norje, Blekinge, Sweden",1236
"Download Festival 2016",2016-06-12 00:00:00.000,"Hippodrome de Longchamp","Paris, Île-de-France, France",1235
"Download Festival 2016",2016-06-10 00:00:00.000,"Hippodrome de Longchamp","Paris, Île-de-France, France",1235
"Download Festival 2016",2016-06-12 00:00:00.000,"Hippodrome de París-Longchamp","Paris, Île-de-France, France",1234
"Download Festival 2016",2016-06-10 00:00:00.000,"Hippodrome de París-Longchamp","Paris, Île-de-France, France",1234
"Sweden Rock Festival 2016 - Day 4",2016-06-11 00:00:00.000,"Norje Festival Grounds","Norje, Blekinge, Sweden",1233
"Download Festival Paris 2016",2016-06-12 00:00:00.000,"Hippodrome de Longchamp","Paris, Île-de-France, France",1232
"Iron Maiden / Sabaton / Stratovarius / The Raven Age",2016-06-29 00:00:00.000,"Kantola Event Park / Kantolan Tapahtumapuisto","Hämeenlinna, Finland",1231
"Iron Maiden / Sabaton / Stratovarius / The Raven Age",2016-06-29 00:00:00.000,"KANTOLAN TAPAHTUMAPUISTO","Hämeenlinna, Finland",1230
"Scorpions / Sabaton",2016-06-30 00:00:00.000,"Bilbao Arena Miribilla","Bilbao, Basque Country, Spain",1229
"Scorpions / Medina Azahara / Sabaton",2016-07-02 00:00:00.000,"Plaza De Toros ""Los Califas""","Córdoba, Spain",1228
"Scorpions / Sabaton",2016-07-03 00:00:00.000,"WiZink Center","Madrid, Madrid, Spain",1227
"Iron Maiden / Sabaton / The Raven Age",2016-07-06 00:00:00.000,"Letisko Žilina","Žilina, Žilinský kraj, Slovak Republic",1226
"Iron Maiden / Sabaton / The Raven Age",2016-07-06 00:00:00.000,"Letisko Žilina","Dolný Hričov, SK",1225
"Battle Beast / Sabaton / Swallow the Sun / Anthrax",2016-07-09 00:00:00.000,"Kuusisaari","Oulu, North Ostrobothnia, Finland",1224
"Battle Beast / Sabaton / Swallow the Sun / Anthrax",2016-07-08 00:00:00.000,"Kuusisaari","Oulu, North Ostrobothnia, Finland",1224
"Jalometalli Metal Music Festival",2016-07-08 00:00:00.000,"Teatrie Oulu","Oulu, North Ostrobothnia, Finland",1223
"Megadeth / Sabaton / Dragonforce / Children of Bodom",2016-07-10 00:00:00.000,"Park Orman","Istanbul, Istanbul, Turkey",1222
"Iron Maiden / Bullet for My Valentine / Anthrax / Sabaton",2016-07-24 00:00:00.000,"Ippodromo delle Capannelle","Rome, Latium, Italy",1221
"""Rockoff"" / Sabaton",2016-07-26 00:00:00.000,"Rockoff Festival Grounds","Mariehamn, Finland",1220
"HeavyMontreal 2016 (sets I saw)",2016-08-07 00:00:00.000,"Plaines des Jeux","Montreal, Quebec, Canada",1218
"HeavyMontreal 2016 (sets I saw)",2016-08-06 00:00:00.000,"Plaines des Jeux","Montreal, Quebec, Canada",1218
"Heavy Montréal 2016",2016-08-07 00:00:00.000,"Parc Jean-Drapeau","Montreal, Quebec, Canada",1217
"Heavy Montréal 2016",2016-08-06 00:00:00.000,"Parc Jean-Drapeau","Montreal, Quebec, Canada",1217
"Heavy Montreal",2016-08-06 00:00:00.000,"Parc Jean-Drapeau","Montreal, Quebec, Canada",1216
"Summer Breeze 2016",2016-08-20 00:00:00.000,"Flugplatz Dinkelsbühl Sinbronn","Dinkelsbühl, Bavaria, Germany",1215
"Summer Breeze 2016",2016-08-16 00:00:00.000,"Flugplatz Dinkelsbühl Sinbronn","Dinkelsbühl, Bavaria, Germany",1215
"Summer Breeze Open Air 2016",2016-08-17 00:00:00.000,"Flugplatzstraße","Dinkelsbühl, Bavaria, Germany",1213
"Summer Breeze Open Air 2016",2016-08-20 00:00:00.000,"Flugplatzstraße","Dinkelsbühl, Bavaria, Germany",1213
"Summer Breeze 2016",2016-08-21 00:00:00.000,"Dinkelsbühl","Dinkelsbühl, Bavaria, Germany",1212
"Summer Breeze 2016",2016-08-18 00:00:00.000,"Dinkelsbühl","Dinkelsbühl, Bavaria, Germany",1212
"Summer Breeze Festival",2016-08-18 00:00:00.000,"Airfield Aeroclub","Dinkelsbuhl, Germany",1211
"Elbriot Festival 2016",2016-08-20 00:00:00.000,"Großmarkt","Hamburg, Hamburg, Germany",1210
"Elbriot Festival 2016",2016-08-19 00:00:00.000,"Großmarkt","Hamburg, Hamburg, Germany",1210
"Sabaton Open Air!",2016-08-20 00:00:00.000,"Lugnet","Falun, Dalarna, Sweden",1208
"Sabaton / Alestorm / Bloodbound",2016-02-26 00:00:00.000,"Nick Rayns LCR, University of East Anglia (UEA)","Norwich, England, United Kingdom",1205
"Sabaton / Alestorm / Bloodbound",2016-02-27 00:00:00.000,"Manchester Academy 1","Manchester, England, United Kingdom",1204
"Sabaton / Alestorm / Bloodbound",2016-02-27 00:00:00.000,"Academy","Manchester, England, United Kingdom",1203
"Sabaton / Alestorm / Bloodbound",2016-02-27 00:00:00.000,"Manchester Academy","Manchester, England, United Kingdom",1202
"Sabaton / Alestorm / Bloodbound",2016-02-28 00:00:00.000,"O2 Academy Birmingham","Birmingham, England, United Kingdom",1201
"Sabaton / Alestorm / Bloodbound",2016-02-29 00:00:00.000,"Southampton Guildhall","Southampton, England, United Kingdom",1200
"Sabaton / Alestorm / Bloodbound",2016-03-02 00:00:00.000,"Aberdeen Music Hall","Aberdeen, Scotland, United Kingdom",1199
"Sabaton / Alestorm / Bloodbound",2016-03-03 00:00:00.000,"Barrowland Ballroom","Glasgow, Scotland, United Kingdom",1198
"Sabaton / Alestorm / Bloodbound",2016-03-04 00:00:00.000,"Limelight 1","Belfast, Northern Ireland, United Kingdom",1197
"Sabaton / Alestorm / Bloodbound",2016-03-06 00:00:00.000,"Vicar Street","Dublin, Leinster, Ireland",1196
"Sabaton / Alestorm",2016-03-07 00:00:00.000,"Tramshed","Cardiff, Wales, United Kingdom",1195
"Sabaton / Alestorm / Bloodbound",2016-03-08 00:00:00.000,"O2 Academy Bristol","Bristol, England, United Kingdom",1194
"Sabaton / Alestorm / Bloodbound",2016-03-10 00:00:00.000,"O2 Forum Kentish Town","London, England, United Kingdom",1193
"Sabaton / ALESTORM / Bloodhound",2016-03-11 00:00:00.000,"Poppodium 013","Tilburg, North Brabant, Netherlands",1192
"Sabaton / Alestorm / Bloodbound",2016-03-11 00:00:00.000,"Poppodium 013","Tilburg, North Brabant, Netherlands",1191
"Sabaton / Alestorm / Bloodbound",2016-03-12 00:00:00.000,"Rockhal","Esch-sur-Alzette, Esch-sur-Alzette, Luxembourg",1190
"Full Metal Mountain 2016",2016-03-30 00:00:00.000,"Nassfeld Ski Area","Hermagor, Carinthia, Austria",1189
"Iron Maiden / Slayer / Nightwish / Mando Diao / Ghost / Sabaton",2016-05-28 00:00:00.000,"","Gelsenkirchen, North Rhine-Westphalia, Germany",1188
"Iron Maiden / Slayer / Nightwish / Mando Diao / Ghost / Sabaton",2016-05-26 00:00:00.000,"","Gelsenkirchen, North Rhine-Westphalia, Germany",1188
"Rock im Revier 2016",2016-05-28 00:00:00.000,"Westfalenhalle","Dortmund, North Rhine-Westphalia, Germany",1187
"Rock im Revier 2016",2016-05-26 00:00:00.000,"Westfalenhalle","Dortmund, North Rhine-Westphalia, Germany",1187
"Rockavaria 2016",2016-05-29 00:00:00.000,"Olympiastadion (Olympic Stadium)","Munich, Bavaria, Germany",1186
"Rockavaria 2016",2016-05-27 00:00:00.000,"Olympiastadion (Olympic Stadium)","Munich, Bavaria, Germany",1186
"Sonisphere / Allmend Rockt Festival 2016",2016-06-04 00:00:00.000,"Allmend Luzern","Lucerne, Lucerne, Switzerland",1183
"Sonisphere / Allmend Rockt Festival 2016",2016-06-03 00:00:00.000,"Allmend Luzern","Lucerne, Lucerne, Switzerland",1183
"Iron Maiden / Sabaton / Gojira / Tremonti / The Raven Age / The Wild Lies",2016-06-03 00:00:00.000,"Allmend","Lucerne, Lucerne, Switzerland",1182
"Sabaton / Motörhead / Iron Maiden / Rammstein / Apocalyptica / Slayer / Anthrax",2016-06-03 00:00:00.000,"Sonisphere Festival","Lucerne, Lucerne, Switzerland",1181
"Loud Park Festival",2015-10-11 00:00:00.000,"Saitama Super Arena (さいたまスーパーアリーナ)","Saitama, Saitama, Japan",1179
"Sabaton / Alestorm / Bloodbound / Wisdom",2016-02-06 00:00:00.000,"Cassosport Sport Hall","Kosice, Slovak Republic",1173
"Sabaton / Alestorm / Bloodbound",2016-02-13 00:00:00.000,"Posthof","Linz, Upper Austria, Austria",1168
"Sabaton / Alestorm / Bloodbound",2016-02-15 00:00:00.000,"Music Hall","Innsbruck, Tyrol, Austria",1166
"Sabaton / Alestorm / Bloodbound",2016-02-18 00:00:00.000,"Salle Métropole","Lausanne, Vaud, Switzerland",1164
"Rock Fest Barcelona 2015",2015-07-25 00:00:00.000,"Parc de Can Zam","Santa Coloma de Gramenet, Catalonia, Spain",1158
"Rock Fest Barcelona 2015",2015-07-23 00:00:00.000,"Parc de Can Zam","Santa Coloma de Gramenet, Catalonia, Spain",1158
"Sabaton / Serenity / Brainstorm / Serious Black",2015-07-24 00:00:00.000,"Z7 Konzertfabrik","Pratteln, Basel-Landschaft, Switzerland",1156
"Sabaton / Powerwolf / Korpiklaani / Civil War / Bloodbound",2015-07-25 00:00:00.000,"Amphitheater Gelsenkirchen","Gelsenkirchen, North Rhine-Westphalia, Germany",1155
"Wacken Open Air 2015",2015-08-01 00:00:00.000,"Wacken Open Air","Wacken, Schleswig-Holstein, Germany",1153
"Wacken Open Air 2015",2015-07-29 00:00:00.000,"Wacken Open Air","Wacken, Schleswig-Holstein, Germany",1153
"Wacken Open Air 2015",2015-07-30 00:00:00.000,"Wacken Open Air 2015","Wacken, Schleswig-Holstein, Germany",1152
"Wacken Open Air 2015",2015-08-01 00:00:00.000,"Wacken Open Air 2015","Wacken, Schleswig-Holstein, Germany",1152
"Wacken Open Air 2015",2015-08-01 00:00:00.000,"Unknown venue","Wacken, Schleswig-Holstein, Germany",1151
"Wacken Open Air 2015",2015-07-30 00:00:00.000,"Unknown venue","Wacken, Schleswig-Holstein, Germany",1151
"Wacken Open Air",2015-08-01 00:00:00.000,"Wacken","Wacken, Schleswig-Holstein, Germany",1150
"Wacken Open Air",2015-07-30 00:00:00.000,"Wacken","Wacken, Schleswig-Holstein, Germany",1150
"Wacken Open Air 2015",2015-08-01 00:00:00.000,"Wacken Open Air","Wacken, Schleswig-Holstein, Germany",1149
"Wacken Open Air 2015",2015-07-30 00:00:00.000,"Wacken Open Air","Wacken, Schleswig-Holstein, Germany",1149
"Wacken Open Air 2015",2015-08-01 00:00:00.000,"Wacken Grounds","Wacken, Schleswig-Holstein, Germany",1148
"Wacken Open Air 2015",2015-07-30 00:00:00.000,"Wacken Grounds","Wacken, Schleswig-Holstein, Germany",1148
"Wacken Open Air 2015",2015-07-30 00:00:00.000,"Wacken Grounds","Wacken, Schleswig-Holstein, Germany",1147
"Wacken Open Air 2015",2015-08-01 00:00:00.000,"Wacken Grounds","Wacken, Schleswig-Holstein, Germany",1147
"Wacken Open Air Festival",2015-08-01 00:00:00.000,"RheinRiot","Wacken, Schleswig-Holstein, Germany",1145
"Leyendas Del Rock 2015",2015-08-05 00:00:00.000,"Polideportivo Municipal","Villena, Alicante",1143
"Leyendas Del Rock 2015",2015-08-08 00:00:00.000,"Polideportivo Municipal","Villena, Alicante",1143
"Bloodstock Festival 2015",2015-08-06 00:00:00.000,"Bloodstock Open Air","Walton-on-Trent, England, United Kingdom",1142
"Bloodstock Festival 2015",2015-08-09 00:00:00.000,"Bloodstock Open Air","Walton-on-Trent, England, United Kingdom",1142
"Bloodstock Open Air 2015",2015-08-09 00:00:00.000,"Catton Hall Park","Walton-on-Trent, England, United Kingdom",1141
"Bloodstock Open Air 2015",2015-08-06 00:00:00.000,"Catton Hall Park","Walton-on-Trent, England, United Kingdom",1141
"Bloodstock Festival 2015",2015-08-09 00:00:00.000,"Catton Hall","Derby, England, United Kingdom",1140
"Bloodstock Festival 2015",2015-08-06 00:00:00.000,"Catton Hall","Derby, England, United Kingdom",1140
"Bloodstock Open Air 2015",2015-08-09 00:00:00.000,"Catton Park","Walton-on-Trent, England, United Kingdom",1139
"Bloodstock Open Air 2015",2015-08-06 00:00:00.000,"Catton Park","Walton-on-Trent, England, United Kingdom",1139
"Bloodstock Open Air 2015",2015-08-09 00:00:00.000,"Catton Park","Walton-on-Trent, England, United Kingdom",1138
"Bloodstock Open Air 2015",2015-08-06 00:00:00.000,"Catton Park","Walton-on-Trent, England, United Kingdom",1138
"Bloodstock Open Air 2015",2015-08-09 00:00:00.000,"Catton Park","Walton-on-Trent, England, United Kingdom",1137
"Bloodstock Open Air 2015",2015-08-06 00:00:00.000,"Catton Park","Walton-on-Trent, England, United Kingdom",1137
"Bloodstock Open Air 2015",2015-08-09 00:00:00.000,"Catton Hall","Walton-on-Trent, England, United Kingdom",1135
"Bloodstock Open Air 2015",2015-08-07 00:00:00.000,"Catton Hall","Walton-on-Trent, England, United Kingdom",1135
